seed,P,norm,model,id_acc,ood_acc,ood_auroc
43,500,log1p,Transformer,0.937900,0.845300,0.709396
43,500,zscore,DecisionTree,0.768600,0.692800,0.550401
43,500,zscore,RandomForest,0.873100,0.771100,0.609050
43,500,zscore,MLP,0.939200,0.841900,0.736602
43,500,zscore,Transformer,0.935300,0.820300,0.753417
43,600,raw,DecisionTree,0.787800,0.717100,0.533529
43,600,raw,RandomForest,0.882600,0.786100,0.608194
43,600,raw,MLP,0.954400,0.874100,0.748712
43,600,raw,Transformer,0.944900,0.853700,0.741613
43,600,log1p,DecisionTree,0.791300,0.716000,0.522020
43,600,log1p,RandomForest,0.879300,0.787400,0.618338
43,600,log1p,MLP,0.952100,0.862300,0.740333
43,600,log1p,Transformer,0.935800,0.845900,0.701353
43,600,zscore,DecisionTree,0.782600,0.708900,0.529737
43,600,zscore,RandomForest,0.881300,0.785700,0.611602
43,600,zscore,MLP,0.940700,0.836900,0.742799
43,600,zscore,Transformer,0.935000,0.837100,0.735647
44,10,raw,DecisionTree,0.583600,0.549100,0.505400
44,10,raw,RandomForest,0.585700,0.549400,0.503474
44,10,raw,MLP,0.582700,0.539600,0.580115
44,10,raw,Transformer,0.580100,0.551000,0.498488
44,10,log1p,DecisionTree,0.583200,0.549100,0.505245
44,10,log1p,RandomForest,0.584800,0.549400,0.597005
44,10,log1p,MLP,0.580700,0.549300,0.513290
44,10,log1p,Transformer,0.581600,0.551500,0.447804
44,10,zscore,DecisionTree,0.583600,0.549100,0.505400
44,10,zscore,RandomForest,0.585800,0.549400,0.410891
44,10,zscore,MLP,0.581900,0.539100,0.587366
